X	Y	Z
19243.074	6617.765	108.02
19417.482	13604.002	59.745
19691.266	20177.746	709.327
21246.742	16582.66	37.154
21409.477	9195.83	32.545
21894.104	23589.516	55.308
23041.303	25614.307	157.808
24508.082	16573.955	52.265
24629.768	21245.477	99.113
25486.254	25070.203	47.567
29395.189	18530.816	30.549
3394.238	16741.855	16.454
5400.005	22406.719	82.449
5528.257	20064.57	45.832
6153.333	2042.903	11.881
6227.833	18578.41	40.542
6468.079	3282.815	164.335
8298.071	18969.168	7.12
9943.217	21359.398	1.008
10719.062	2726.388	38.676
10690.506	1330.078	180.25
13752.349	9583.515	11.224
13475.085	6152.582	50.386
13364.876	7681.633	61.174
13566.976	22297.863	-30.636
14271.897	3783.131	94.118
15382.631	25708.574	-1.812
15566.818	16816.475	68.84
15745.895	6143.569	71.06
16215.945	6687.337	61.981
18156.344	25713.258	-45.899
18686.061	28026.244	73.338
18764.752	26827.348	30.802
18899.836	10854.635	74.433
19717.359	15789.667	35.224
19625.457	22764.326	35.276
20456.574	19858.211	171.07
20469.633	12650.39	94.372
21544.496	22093.594	-25.028
22713.619	10523.123	258.116
23673.469	19518.934	47.935
24622.744	21262.277	71.103
25100.396	25899.406	72.081
25506.369	14600.094	183.384
27086.943	16090.94	-18.834
27672.545	17230.309	38.241
5179.727	8308.184	40.668
5169.473	17864.01	46.34
5410.371	22412.291	168.16
6819.139	12182.829	111.039
7083.009	6091.563	37.058
7557.567	13381.394	-1.098
7984.752	5250.93	38.725
8410.048	6577.852	73.012
9432.771	10338.013	50.962
10368.837	7250.981	12.588
10214.558	3347.36	-20.944
11369.479	17197.09	80.177
11925.787	20279	117.531
12068.892	19256.4	59.796
12294.307	11762.458	50.41
12505.041	6334.681	48.544
12505.412	25857.789	74.107
13509.911	6161.761	29.05
13651.583	17081.732	17.138
14999.42	25595.412	67.269
16028.352	10798.241	89.106
16276.18	17253.289	-4.985
16922.02	14246.923	301.767
17388.633	6090.801	64.299
17998.693	26992.967	18.702
18062.889	7433.569	89.706
18007.275	15813.836	33.234
18702.375	6730.554	116.307
18771.701	15370.66	179.675
20079.947	14432.202	588.791
20356.338	10767.287	55.371
20471.264	20032.676	159.04
20546.385	16496.678	78.613
20611.42	25822.986	-12.793
21019.012	11899.367	114.44
21322.789	7178.333	101.855
21904.32	13502.934	34.823
22312.428	14168.715	47.994
23042.57	17188.152	34.372
23046.902	25599.289	13.336
24094.438	15586.043	65.765
24223.684	26012.66	457.239
24603.023	21168.66	128.248
26386.219	14305.584	159.99
28239.271	27443.639	20.252
4062.51	6715.929	65.578
4957.862	12782.436	-24.011
5205.914	17860.74	8.041
5463.445	19985.795	-23.563
6099.196	13868.676	96.039
6814.496	12183.896	85.369
7079.863	6087.953	38.087
8171.058	11747.291	39.675
8377.47	23713.012	165.226
8766.415	15327.697	58.401
9430.658	10334.646	85.007
9917.839	15296.396	-11.95
9913.732	21301.773	78.561
10059.693	19901.086	28.633
11916.816	20275.621	154.16
12030.924	19301.42	84.078
13480.136	21148.229	25.08
14317.785	11003.97	19.73
14650.618	3710.594	349.076
14477.697	27110.188	119.672
14703.227	6855.473	23.877
15847.596	5488.804	187.159
15640.096	31155.33	86.04
17540.318	16432.426	95.411
18107.84	26950.637	25.191
18872.611	21979.49	15.174
19470.938	20222.037	-35.978
20416.684	21986.791	7.53
20900.057	6053.053	1.621
21745.678	25927.742	40.724
21972.779	23586.059	6.192
21987.881	27837.078	63.152
22612.6	17289.152	176.729
22747.893	13121.761	-6.538
23437.26	22949.33	56.679
24467.605	19170.887	0.889
24593.836	21172.152	154.4
25914.584	13482.684	240.364
26954.477	13883.491	447.914
4141.335	17311.996	30.907
4872.668	3427.384	55.758
5097.333	8067.388	-42.664
5445.497	17699.574	47.465
5375.114	20610.717	6.662
6105.69	13868.437	53.949
6638.476	4556.345	99.23
6611.764	20719.461	30.911
6826.84	12181.224	68.729
8234.322	11827.218	38.959
8919.619	4394.817	133.048
9026.52	3640.412	140.469
9765.946	9810.569	216.945
9970.101	21611.406	73.627
10069.957	3340.972	-18.034
9913.959	15325.868	112.297
10369.765	8503.979	204.571
10384.895	24482.564	1.354
10575.577	18144.287	-41.584
10688.577	16618.605	-11.494
11249.978	18777.064	-4.753
11856.902	18408.605	41.414
14335.969	10989.578	112.968
14409.805	8343.554	59.306
14641.205	22563.559	116.542
16796.934	5791.471	239.286
17186.793	5147.172	96.492
18063.844	16442.178	87.429
18439.586	24755.029	71.129
18999.51	19544.902	56.302
19164.898	6601.95	-20.571
19196.494	17776.436	132.698
19864.402	25418.354	29.025
20034.188	14463.897	840.882
20771.494	26790.059	26.33
21998.812	9324.703	53.53
21945.16	23606.266	41.119
21989.506	27850.062	54.149
22195.471	18045.703	102.336
22761.643	25286.717	38.024
22945.574	18326.496	273.198
23945.92	11458.671	95.602
26060.576	20865.146	97.916
26186.607	14266.396	226.927
28030.963	20515.676	142.89
29274.377	22081.754	330.162
5184.019	21353.012	50.584
5554.497	20179.66	34.818
7674.978	14218.028	38.729
7772.813	5151.478	184.018
7850.958	19570.25	108.683
8803.301	10539.108	0.45
10156.67	3256.241	64.516
10128.109	24345.77	29.25
10432.563	13253.32	33.877
11246.844	18768.857	444.795
12552.359	16889.482	129.422
14147.247	17631.672	82.967
14624.599	27547.795	179.2
14787.864	26666.145	166.538
15437.425	4261.271	20.358
15969.271	26340.949	13.27
17047.625	16523.822	91.596
17157.863	5241.031	66.684
17698.18	16632.945	101.523
17905.172	13444.943	573.252
18358.023	10183.988	69.213
18573.281	8992.659	118.14
18535	7977.337	58.405
18500.631	26833.646	294.455
19411.102	14156.642	40.272
19449.594	20220.289	-0.079
19492.234	22727.23	20.461
19556.854	10763.632	-19.077
21109.271	10186.137	72.528
21448.066	7145.056	133.519
21972.746	27837.656	96.122
22289.709	17970.172	39.396
22808.662	16243.213	153.984
22928.578	18268.354	95.27
23125.801	23135.945	108.59
23759.617	14357.317	37.208
26708.795	13264.445	40.693
26948.553	19816.902	15.353
27770.254	17048.162	39.714
1031.15	19321.309	-12.225
4277.107	14514.786	125.028
5791.928	18590.674	28.531
6185.145	13263.03	47.194
7055.195	6107.327	77.784
7097.968	15009.528	17.524
8600.823	22569.938	60.197
10558.587	13091.483	52
11012.938	2517.878	-1.774
11578.524	24839.943	17.413
12424.863	18292.441	35.026
12822.341	17199.715	143.899
13946.37	24968.859	11.678
14381.072	17451.143	100.718
15726.558	8435.343	62.497
15911.672	6278.293	16.573
16764.029	23571.986	100.85
17407.703	17877.191	-18.959
17636.34	23397.379	84.887
17755.664	11164.038	12.303
19478.479	22722.947	-5.077
19907.465	27162.514	139.493
20276.205	8004.775	584.752
20634.553	12573.436	89.99
20559.385	22630.197	33.766
21560.268	6352.275	116.708
21552.559	22087.766	58.858
21983.035	27830.725	117.969
22572.184	14074.599	19.746
23655.648	14159.626	115.036
24161.461	11625.084	52.93
24144.533	23623.09	89.279
24976.988	17236.742	35.126
25959.514	24403.523	169.918
26316.547	15188.231	48.077
27550.043	20457.443	23.138
27890.631	18454.543	111.497
29138.57	20191.25	292.996
5538.263	20028.732	-42.679
5862.469	9054.977	71.328
6501.515	3319.471	64.547
6556.217	17151.545	50.972
7041.858	16739.311	22.853
